TC_Number,TC_U,TC_V,ECON_TC_Number_PostMux,HGCROC,HGCROC_eTx_Number,eLink_Spot,ECON_eRX_Number,STC4_Number,STC4_Idx,STC16_Number,STC16_Idx,ECON_TC_Number_PreMux
0,7,4,31,2,3,1,7,7,3,1,15,29
1,6,4,30,2,3,0,7,7,2,1,14,28
2,5,4,27,2,2,3,6,6,3,1,11,27
3,4,4,26,2,2,2,6,6,2,1,10,26
4,7,5,28,2,3,2,7,7,0,1,12,30
5,6,5,29,2,3,3,7,7,1,1,13,31
6,5,5,24,2,2,1,6,6,0,1,8,25
7,4,5,25,2,2,0,6,6,1,1,9,24
8,7,6,19,2,1,2,5,4,3,1,3,22
9,6,6,18,2,1,1,5,4,2,1,2,21
10,5,6,23,2,0,2,4,5,3,1,7,18
11,4,6,22,2,0,0,4,5,2,1,6,16
12,7,7,16,2,1,3,5,4,0,1,0,23
13,6,7,17,2,1,0,5,4,1,1,1,20
14,5,7,20,2,0,3,4,5,0,1,4,19
15,4,7,21,2,0,1,4,5,1,1,5,17
16,1,0,15,1,3,3,3,3,3,0,15,15
17,2,1,14,1,3,0,3,3,2,0,14,12
18,3,2,11,1,2,3,2,2,3,0,11,11
19,4,3,10,1,2,2,2,2,2,0,10,10
20,2,0,12,1,3,2,3,3,0,0,12,14
21,3,1,13,1,3,1,3,3,1,0,13,13
22,4,2,8,1,2,0,2,2,0,0,8,8
23,5,3,9,1,2,1,2,2,1,0,9,9
24,3,0,3,1,1,2,1,0,3,0,3,6
25,4,1,2,1,1,1,1,0,2,0,2,5
26,5,2,7,1,0,2,0,1,3,0,7,2
27,6,3,6,1,0,0,0,1,2,0,6,0
28,4,0,0,1,1,3,1,0,0,0,0,7
29,5,1,1,1,1,0,1,0,1,0,1,4
30,6,2,4,1,0,3,0,1,0,0,4,3
31,7,3,5,1,0,1,0,1,1,0,5,1
32,3,6,47,3,3,0,11,11,3,2,15,44
33,3,5,46,3,2,3,10,11,2,2,14,43
34,3,4,43,3,2,2,10,10,3,2,11,42
35,3,3,42,3,2,1,10,10,2,2,10,41
36,2,5,44,3,3,3,11,11,0,2,12,47
37,2,4,45,3,3,1,11,11,1,2,13,45
38,2,3,40,3,2,0,10,10,0,2,8,40
39,2,2,41,3,0,0,8,10,1,2,9,32
40,1,4,35,3,3,2,11,8,3,2,3,46
41,1,3,34,3,1,3,9,8,2,2,2,39
42,1,2,39,3,0,3,8,9,3,2,7,35
43,1,1,38,3,0,1,8,9,2,2,6,33
44,0,3,32,3,1,2,9,8,0,2,0,38
45,0,2,33,3,1,1,9,8,1,2,1,37
46,0,1,36,3,1,0,9,9,0,2,4,36
47,0,0,37,3,0,2,8,9,1,2,5,34